Rank,Rider,Team,Points
526,COVILI Luca,Bardiani CSF 7 Saber,105
527,PICKRELL Riley,Modern Adventure Pro Cycling,105
528,SCALCO Matteo,XDS Astana Development Team,105
529,PERICAS Adrià,UAE Team Emirates - XRG,105
530,MEIJERS Jeroen,Victoria Sports Pro Cycling,104
531,GAVIRIA Fernando,Caja Rural - Seguros RGA,104
532,BRENES Sebastian,Canel's - Java,104
533,DEBRUYNE Ramses,Alpecin-Premier Tech,104
534,DE POOTER Dries,Team Jayco AlUla,104
535,ZERAY Nahom,Team UKYO,104
536,CALLEJAS Edison Alejandro,Petrolike,104
537,WALSCHEID Max,Lidl - Trek,103
538,LÓPEZ Jordi,Euskaltel - Euskadi,103
539,KUZMIN Anton,XDS Astana Team,102
540,KRETSCHY Moritz,NSN Development Team,102
541,BRUNEL Alexys,TotalEnergies,101
542,GRAAT Tijmen,Team Visma | Lease a Bike,101
543,TIVANI German Nicolás,Aviludo - Louletano - Loulé,100
544,MARIAULT Axel,CIC Pro Cycling Academy,100
545,TORRES Pablo,UAE Team Emirates - XRG,100
546,HAMILTON Chris,Team Picnic PostNL,99
547,CONTRERAS Rodrigo,,98
548,VAN DEN BOSSCHE Fabio,Soudal Quick-Step,98
549,GUALDI Simone,Lotto Intermarché,98
550,GEENS Jonas,Alpecin-Premier Tech,98
551,VANHOUCKE Harm,Pinarello Q36.5 Pro Cycling Team,97
552,MARTÍN Gotzon,Euskaltel - Euskadi,97
553,CADENA Edgar David,,97
554,NOVÁK Pavel,Movistar Team,97
555,NEILANDS Krists,NSN Cycling Team,96
556,FERRON Valentin,Cofidis,96
557,BÉVORT Carl-Frederik,Uno-X Mobility,96
558,SCHRETTL Marco,XDS Astana Team,96
559,GUTIÉRREZ Jorge,Equipo Kern Pharma,95
560,HABTEAB Yoel,BIKE AID,95
561,SMIT Willie,China Anta - Mentech Cycling Team,94
562,VANSEVENANT Mauri,Soudal Quick-Step,94
563,MUNTON Byron,Modern Adventure Pro Cycling,94
564,BOIVIN Guillaume,NSN Cycling Team,93
565,GIDICH Yevgeniy,,93
566,FLYNN Sean,Team Picnic PostNL,93
567,APARICIO Mario,Burgos Burpellet BH,93
568,WENZEL Mats,Equipo Kern Pharma,93
569,LANHOVE Milan,Team Flanders - Baloise,93
570,JACOBS Johan,Groupama - FDJ United,92
571,BALLABIO Giacomo,Team Vorarlberg,92
572,MACIEJUK Filip,,92
573,VADIC Baptiste,TotalEnergies,92
574,MIMOUNI Oussama Abdellah,,92
575,GUERNALEC Victor,CIC Pro Cycling Academy,91
576,UMBA Santiago,Solution Tech NIPPO Rali,91
577,PETERS Nans,,90
578,KNOX James,Team Picnic PostNL,90
579,O'BRIEN Kelland,Team Jayco AlUla,90
580,BRAMBILLA Gianluca,,89
581,LAGAB Azzedine,Mouloudia Club d'Alger,89
582,BOMBOI Davide,,89
583,GONZÁLEZ David,Pinarello Q36.5 Pro Cycling Team,89
584,AERTS Toon,Lotto Intermarché,88
585,RACCANI Simone,Team UKYO,88
586,HERZOG Emil,Red Bull - BORA - hansgrohe,88
587,FELDHOFFER Bálint,Bahrain Victorious Development Team,88
588,DE JONG Timo,Team Picnic PostNL,87
589,PONOMAR Andrii,Petrolike,87
590,SHMIDT Artem,INEOS Grenadiers,87
591,DONNENWIRTH Tom,Groupama - FDJ United,87
592,ROTA Lorenzo,Lotto Intermarché,86
593,DEKKER David,BEAT Cycling Club,86
594,HOULE Hugo,Alpecin-Premier Tech,85
595,LEEMREIZE Gijs,Team Picnic PostNL,85
596,BELOKI Markel,EF Education - EasyPost,85
597,SAMITIER Sergio,Cofidis,84
598,MUGISHA Moise,,84
599,NØRTOFT Morten Aalling,Team ColoQuick,84
600,VERSTRYNGE Emiel,Alpecin-Premier Tech,84
601,SCHWARZBACHER Matthias,EF Education - EasyPost,84
602,SYRITSA Gleb,XDS Astana Team,83
603,RICKAERT Jonas,Alpecin-Premier Tech,82
604,CONSONNI Simone,Lidl - Trek,82
605,GOLDSTEIN Omer,,82
606,HUERTAS Jason Andrey,,82
607,QUICK Blake,FNIX - SCOM - Hengxiang Cycling Team,82
608,EDDY Patrick,Team Brennan,82
609,PALETTI Luca,Bardiani CSF 7 Saber,82
610,KOISHI Yuma,Kinan Racing Team,81
611,REINDERINK Pepijn,Soudal Quick-Step,81
612,MINTEGI Iker,Euskaltel - Euskadi,81
613,CAMPRUBÍ Marcel,Pinarello Q36.5 Pro Cycling Team,81
614,HOBBS Noah,EF Education - EasyPost,81
615,SCOTT Cameron,Li Ning Star,80
616,BARTHE Cyril,Groupama - FDJ United,80
617,RAISBERG Nadav,NSN Cycling Team,80
618,DALBY Simon,Uno-X Mobility,80
619,THORNLEY Callum,Red Bull - BORA - hansgrohe,80
620,BUDIAK Anatolii,,79
621,HENNEQUIN Paul,Euskaltel - Euskadi,79
622,ROMELE Alessandro,XDS Astana Team,79
623,CRABBE Tom,Team Flanders - Baloise,79
624,CORKERY Dillon,Team Picnic PostNL,78
625,PESCADOR Diego,Movistar Team,78
626,PEDRERO Antonio,,77
627,DUPONT Timothy,Tarteletto - Isorex,77
628,SINSCHEK Nils,Li Ning Star,77
629,VAN DER LEE Jardi Christiaan,EF Education - EasyPost,77
630,HANSEN Alexander Arnt,AIRTOX - Carl Ras,77
631,ABERASTURI Jon,,76
632,BRUSTENGA Marc,Equipo Kern Pharma,76
633,HELLEMOSE Asbjørn,Team Jayco AlUla,76
634,MAAS Jan,Cofidis,75
635,DE PESTEL Sander,Decathlon CMA CGM Team,75
636,LINAREZ Leangel Rubén,Tavfer-Ovos Matinados-Mortágua,75
637,GRIGNARD Sébastien,Lotto Intermarché,75
638,BERWICK Sebastian,Caja Rural - Seguros RGA,75
639,MARTÍN Alex,Illes Balears Arabay,75
640,PAREDES Wilmar,Team Medellín - EPM,74
641,OTRUBA Jakub,Caja Rural - Seguros RGA,74
642,CRAPS Lars,Lotto Intermarché,74
643,DE CASSAN Davide,General Store - Essegibi - F.Lli Curia,74
644,DARDER Sergi,Caja Rural - Seguros RGA,74
645,MOSCA Jacopo,Lidl - Trek,73
646,YEMANE Dawit,,73
647,GUDMESTAD Tord,Decathlon CMA CGM Team,73
648,DOULL Owain,Team Visma | Lease a Bike,72
649,REINDERS Elmar,Unibet Rose Rockets,72
650,MULLEN Ryan,NSN Cycling Team,72
651,STÜSSI Colin,Team Vorarlberg,72
652,STOKBRO Andreas,Swatt Club,72
653,DE VRIES Hartthijs,Unibet Rose Rockets,72
654,DOWNES Brandon,Tshenolo Pro Cycling Team,72
655,MILESI Nicolas,INEOS Grenadiers Racing Academy,72
656,MOSCON Gianni,Red Bull - BORA - hansgrohe,71
657,MÄRKL Niklas,Team Picnic PostNL,71
658,GRADEK Kamil,Bahrain - Victorious,70
659,EWAN Caleb,,70
660,NOVAK Domen,UAE Team Emirates - XRG,70
661,STANNARD Robert,Bahrain - Victorious,70
662,BURATTI Nicolò,MBH Bank CSB Telecom Fort,70
663,EPIS Giosuè,Petrolike,70
664,NIYONKURU Samuel,,70
665,VADER Milan,Pinarello Q36.5 Pro Cycling Team,69
666,SYELHAN Muhammad,ASC Monsters Indonesia,69
667,NEUMAN Dominik,ATT Investments,68
668,PĘKALA Piotr,ATT Investments,68
669,URIARTE Diego,Equipo Kern Pharma,68
670,HEREMANS Joppe,Van Rysel Roubaix,68
671,STOLIĆ Mihajlo,Bahrain Victorious Development Team,68
672,CHESINI Cesare,MBH Bank CSB Telecom Fort,68
673,DONATI Davide,Red Bull - BORA - hansgrohe Rookies,68
674,DONIE Milan,Lotto - Groupe Wanty,68
675,BOUGLAS Georgios,Burgos Burpellet BH,67
676,DEWULF Stan,Decathlon CMA CGM Team,67
677,GAMPER Patrick,Team Jayco AlUla,67
678,LASTRA Jonathan,Euskaltel - Euskadi,67
679,WILKSCH Hannes,Tudor Pro Cycling Team,67
680,MIKUTIS Aivaras,Tudor Pro Cycling Team,67
681,PALENI Enzo,Groupama - FDJ United,67
682,MARRIAGE Zac,NSN Development Team,67
683,REMIJN Senna,Alpecin-Premier Tech,67
684,HEPBURN Michael,,66
685,SOTO Antonio Jesús,Equipo Kern Pharma,66
686,HESTERS Jules,Team Flanders - Baloise,66
687,JOHANSEN Julius,UAE Team Emirates - XRG,66
688,WRIGHT Paul,Modern Adventure Pro Cycling,66
689,PŘIDAL Tomáš,Team United Shipping,66
690,GRUZDEV Dmitriy,,65
691,WALLIN Rasmus Bøgh,Team Cranks,65
692,MUDGWAY Luke,Li Ning Star,65
693,DINA Márton,MBH Bank CSB Telecom Fort,65
694,DE ROSSI Lucas,China Anta - Mentech Cycling Team,65
695,COBARRUBIA Leonardo,,65
696,YIĞIT Tahir,,65
697,KAMADA Koki,Toscana Factory Devo Team,65
698,JASCH Lennart,Tudor Pro Cycling Team U23,65
699,ARCHIBOLD Franklin,Solution Tech NIPPO Rali,64
700,ROSLI Muhammad Nur Aiman Bin,Terengganu Cycling Team,64
701,KOPECKÝ Tomáš,Unibet Rose Rockets,64
702,VERSCHUREN Killian,Unibet Rose Rockets,64
703,PHOUNSAVATH Ariya,Quick Pro Team,63
704,EDMONDSON Alex,,63
705,CATALDO Lorenzo,China Chermin Cycling Team,63
706,GLIVAR Gal,Alpecin-Premier Tech,63
707,HUBER Jan,Tudor Pro Cycling Team U23,63
708,CLARKE Simon,NSN Cycling Team,62
709,JUUL-JENSEN Christopher,Team Jayco AlUla,62
710,DELAPLACE Anthony,,62
711,RESELL Erik Nordsæter,Uno-X Mobility,62
712,TENE Rotem,NSN Development Team,62
713,WALSH Liam,CCACHE x BODYWRAP,62
714,SIMMONS Colby,EF Education - EasyPost,62
715,VERVENNE Jonathan,Soudal Quick-Step,62
716,LOULERGUE Victor,Groupama-FDJ United CT,62
717,OOMEN Sam,Lidl - Trek,61
718,FRĄTCZAK Radosław,Wibatech Lubelskie Perła Polski,61
719,BELOHVOŠČIKS Kristiāns,BIKE AID,61
720,NSENGIYUMVA Shemu,,61
721,VAN DER HOORN Taco,Lotto Intermarché,60
722,OLIVEIRA Nelson,Movistar Team,60
723,ČERNÝ Josef,Kasper crypto4me,60
724,PETILLI Simone,,60
725,HAMILTON Lucas,INEOS Grenadiers,60
726,HOPKINS Kaden,Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team,60
727,BOULAHOITE Rayan,TotalEnergies,60
728,SCHULTZ Nick,NSN Cycling Team,59
729,DRIZNERS Jarrad,Red Bull - BORA - hansgrohe,59
730,GONOV Lev,XDS Astana Team,59
731,L'HOTE Antoine,Decathlon CMA CGM Team,59
732,DEGENKOLB John,Team Picnic PostNL,58
733,ERIKSSON Lucas,,58
734,GONZÁLEZ Roberto Carlos,Solution Tech NIPPO Rali,58
735,STEWART Mark,Modern Adventure Pro Cycling,58
736,SOSA Iván Ramiro,Equipo Kern Pharma,58
737,SLOCK Liam,Lotto Intermarché,58
738,JASIM AL-ALI Abdulla,UAE Team Emirates Gen Z,58
739,REGUIGUI Youcef,,57
740,TRATNIK Jan,Red Bull - BORA - hansgrohe,57
741,SERRANO Gonzalo,Movistar Team,57
742,ANTUNES Tiago,Efapel Cycling,57
743,BAYER Tobias,Alpecin-Premier Tech,57
744,LOZOUET Léandre,CIC Pro Cycling Academy,57
745,GUATIBONZA Jonathan,Movistar Team Academy,57
746,LIEPIŅŠ Emīls,Pinarello Q36.5 Pro Cycling Team,56
747,PASQUALON Andrea,,56
748,BANASZEK Norbert,ATT Investments,56
749,LAUK Karl Patrick,,56
750,MONK Cyrus,FNIX - SCOM - Hengxiang Cycling Team,56
751,AZPARREN Xabier Mikel,Pinarello Q36.5 Pro Cycling Team,56
752,MARSMAN Tim,Alpecin-Premier Tech,56
753,VANÍČEK Šimon,ATT Investments,56
754,SEYFOLLAHIFARD Hasan,,56
755,VOLTR Martin,ATT Investments,56
756,GAFFURI Mattia,Team Picnic PostNL,56
757,OKAMIKA Ander,Burgos Burpellet BH,56
758,RAFFERTY Darren,EF Education - EasyPost,56
759,DILLIER Silvan,Alpecin-Premier Tech,55
760,PEREZ Anthony,,55
761,VAN HOECKE Gijs,,55
762,MASNADA Fausto,MBH Bank CSB Telecom Fort,55
763,PAASSCHENS Mathijs,Bahrain - Victorious,55
764,BADILATTI Matteo,Pinarello Q36.5 Pro Cycling Team,55
765,BANASZEK Alan,Wibatech Lubelskie Perła Polski,55
766,SUNEKÆR NORSGAARD Mathias,Lidl - Trek,55
767,ZUKOWSKY Nickolas,Pinarello Q36.5 Pro Cycling Team,55
768,JOUSSEAUME Alan,TotalEnergies,55
769,BLUME LEVY William,Uno-X Mobility,55
770,VAN SINTMAARTENSDIJK Roel,Lotto Intermarché,55
771,WALKER Max,EF Education - EasyPost,55
772,MIHOLJEVIĆ Fran,Bahrain - Victorious,55
773,COPPENS Michiel,BEAT Cycling Club,55
774,ERMAKOV Roman,Bahrain - Victorious,55
775,SAGRADO Alvaro,Illes Balears Arabay,55
776,ALEMAYO Tekle,China Chermin Cycling Team,55
777,SEVILLA Óscar,Team Medellín - EPM,54
778,SIRIRONNACHAI Sarawut,,54
779,FORTIN Filippo,Hrinkow Advarics,54
780,VAN DEN BERG Julius,Team Picnic PostNL,54
781,HAMDAN Wan Abdul Rahman,Terengganu Cycling Team,54
782,YUN Jaebin,Roojai Insurance Winspace,54
783,GAJDULEWICZ Mateusz,ATT Investments,54
784,FAURA José Luis,Burgos Burpellet BH,54
785,THIERRY Pierre,TotalEnergies,54
786,ISIDORE Noa,Decathlon CMA CGM Team,54
787,MELLANO Ludovico Maria,XDS Astana Development Team,54
788,ALBLOOSHI Rashid,Abu Dhabi Cycling Club,54
789,SKAARSETH Anders,Uno-X Mobility,53
790,ZOCCARATO Samuele,MBH Bank CSB Telecom Fort,53
791,PARISINI Nicolò,Pinarello Q36.5 Pro Cycling Team,53
792,CROCKETT Finn,VolkerWessels Cycling Team,53
793,STOSZ Patryk,Voster Team,52
794,REIS Rafael,Anicolor / Campicarn,52
795,THOMAS Geraint,,52
796,KHALMURATOV Muradjan,,52
797,BAIS Mattia,Team Polti VisitMalta,52
798,GUGLIELMI Simon,St Michel - Preference Home - Auber93,52
799,SKERL Daniel,Bahrain - Victorious,52
800,FERNÁNDEZ Samuel,Caja Rural - Seguros RGA,52
801,KACZMAREK Jakub,Voster Team,51
802,KONYCHEV Alexander,China Anta - Mentech Cycling Team,51
803,CHAMPION Thomas,St Michel - Preference Home - Auber93,51
804,OSORIO Alejandro,,51
805,KLUCKERS Arthur,Tudor Pro Cycling Team,51
806,ÄRM Rait,Energus Cycling Team,51
807,THOMPSON Reuben,Lotto Intermarché,51
808,KRIEGER Alexander,,50
809,COMBAUD Romain,,50
810,YAMAMOTO Masaki,VC Fukuoka,50
811,GREGAARD Jonas,,50
812,DAVY Clément,Nice Métropole Côte d'Azur,50
813,GHYS Robbe,Decathlon CMA CGM Team,50
814,MILTIADIS Andreas,Quick Pro Team,50
815,COLMAN Alex,,50
816,COLLEONI Kevin,,50
817,DELACROIX Théo,St Michel - Preference Home - Auber93,50
818,MEDHANIE Natan,,50
819,MORO Manlio,Movistar Team,50
820,LABIB SHOTORBAN Ali,,50
821,KOTSAKIS Francisco,,50
822,HUISING Menno,Team Visma | Lease a Bike,50
823,YEMANE Even,BIKE AID,50
824,RAMÍREZ Mateo,UAE Team Emirates Gen Z,50
825,BIESTERBOS Frits,Team Picnic PostNL,50
826,VÉLEZ Cristian Damián,Team Sistecredito,50
827,KAMP Alexander,Uno-X Mobility,49
828,OTTEMA Rick,EEW-VDK Cyclingteam,49
829,SAMUDIO Carlos,Solution Tech NIPPO Rali,49
830,FERNÁNDEZ Miguel Ángel,,49
831,PORTER Rudy,Team Jayco AlUla,49
832,JOALLAND Yaël,Cofidis,49
833,NARRAWAY Nicholas,,49
834,GELDERS Gil,Soudal Quick-Step,49
835,ERŽEN Žak,Bahrain - Victorious,49
836,DE BUYST Jasper,Lotto Intermarché,48
837,QUINTANA Hector Exequiel,,48
838,LOPES Lucas,Efapel Cycling,48
839,NEGRENTE Mattia,XDS Astana Development Team,48
840,KIRSCH Alex,Cofidis,47
841,JUNG Woo-Ho,Seoul Cycling Team,47
842,VANHOOF Ward,Team Flanders - Baloise,47
843,CHAIYASOMBAT Thanakhan,Thailand Continental Cycling Team,47
844,AMARI Hamza,,47
845,MEZGEC Luka,Team Jayco AlUla,46
846,BIZKARRA Mikel,Euskaltel - Euskadi,46
847,AÏT EL ABDIA Anass,Qatar Pro Team,46
848,QUINN Sean,EF Education - EasyPost,46
849,ORMISTON Callum,The Hurricane & Thunder Cycling Team,46
850,KRIJNSEN Jelte,Team Jayco AlUla,46
851,PIDCOCK Joseph,Pinarello Q36.5 Pro Cycling Team,46
852,ÁLVAREZ Rodrigo,Burgos Burpellet BH,46
853,REDAE Bizay Tesfu,,46
854,VAN LERBERGHE Bert,Soudal Quick-Step,45
855,NABERMAN Tim,Team Picnic PostNL,45
856,MACÍAS César,Burgos Burpellet BH,45
857,BENNETT Stéfan,EuroCyclingTrips - CCN,45
858,TONEATTI Davide,XDS Astana Team,45
859,KAMZONG Clovis,,44
860,SÜTTERLIN Jasha,Team Jayco AlUla,44
861,BARBIER Pierre,Terengganu Cycling Team,44
862,SEVILLA Diego Pablo,Team Polti VisitMalta,44
863,BOU Joan,Caja Rural - Seguros RGA,44
864,KOLZE CHANGIZI Sebastian,Tudor Pro Cycling Team,44
865,MURGUIALDAY Jokin,Euskaltel - Euskadi,44
866,BETTLES Carter,Roojai Insurance Winspace,44
867,KHADBAATAR Temuulen,Roojai Insurance Winspace,44
868,MCLAY Daniel,,43
869,FENG Chun Kai,Astemo Utsunomiya Blitzen,43
870,FUGLSANG Jakob,,43
871,FELIPE Marcelo,Victoria Sports Pro Cycling,43
872,GARCÍA PIERNA Carlos,Burgos Burpellet BH,43
873,MUÑOZ Francisco,Team Polti VisitMalta,43
874,DIKE Joshua Ethan,,43
875,FRYDKJÆR Patrick Boje,Lidl - Trek Future Racing,43
876,EL ALOUANI Driss,,43
877,VILLA Giacomo,Petrolike,43
878,FERNÁNDEZ Rubén,Anicolor / Campicarn,42
879,MANZIN Lorrenzo,TotalEnergies,42
880,MEENS Johan,,42
881,PESENTI Thomas,Team Polti VisitMalta,42
882,KYFFIN Zeb,Terengganu Cycling Team,42
883,HESSMANN Michel,Movistar Team,42
884,ANDERSEN Kasper,Swatt Club,42
885,OOSTERLINCK Joes,Van Rysel Roubaix,42
886,SENTJENS Sente,Alpecin-Premier Tech,42
887,HERREÑO Martin Santiago,Bardiani CSF 7 Saber,42
888,ANGULO Antonio,,41
889,TAMINIAUX Lionel,Lotto Intermarché,41
890,MANSOURI Islam,,41
891,VANDENABEELE Henri,Team Flanders - Baloise,41
892,SEXTON Tom,St George Continental Cycling Team,41
893,ROJAS Gabriel Francisco,,41
894,ROSENLUND Stian,AIRTOX - Carl Ras,41
895,SHICHKIN Vlas,,41
896,FELDMANN Karsten Larsen,Unibet Rose Rockets,41
897,BASSET Pierre-Henry,XDS Astana Development Team,41
898,GARCÍA Carlos Alfonso,,41
899,MARIVOET Duarte,Lotto - Groupe Wanty,41
900,CHAMBERLAIN Oscar,Decathlon CMA CGM Team,41
901,ALMUTAIWEI Mohammad,UAE Team Emirates Gen Z,41
902,SOENENS Viktor,Soudal Quick-Step Devo Team,41
903,MENÉNDEZ Héctor,,41
904,BORREMANS Kasper,Bahrain Victorious Development Team,41
905,DURBRIDGE Luke,Team Jayco AlUla,40
906,RIESEBEEK Oscar,Alpecin-Premier Tech,40
907,VERMOTE Julien,,40
908,RAPP Jonas,FNIX - SCOM - Hengxiang Cycling Team,40
909,SCOTSON Miles,,40
910,JENNER Samuel,Wheeltop Rotor Chengdu Team,40
911,FINKŠT Tilen,Solution Tech NIPPO Rali,40
912,JOHANNINK Jelle,Unibet Rose Rockets,40
913,PRICE-PEJTERSEN Johan,Alpecin-Premier Tech,40
914,LEIJNSE Enzo,Anicolor / Campicarn,40
915,SERRANO Javier,Team Polti VisitMalta,40
916,WALTERS Red,,40
917,WEISS Fabian,Tudor Pro Cycling Team,40
918,HOUCOU Emmanuel,Pinarello Q36.5 Pro Cycling Team,40
919,SODJEDE Ricardo,,40
920,SMITH William,Team Visma | Lease a Bike Development,40
921,HAVERDINGS David,,40
922,KALEJMANN Mateo,,40
923,TAILLIEU Aldo,Team Visma | Lease a Bike Development,40
924,TESFAY Amanuel,,40
925,ABU HARRAH Majid,,40
926,TIZZA Marco,,39
927,MARCHAND Gianni,Tarteletto - Isorex,39
928,BEULLENS Cedric,Lotto Intermarché,39
929,SILVA Pedro,Feira dos Sofás - Boavista,39
930,VERCOUILLIE Victor,Team Flanders - Baloise,39
931,LAMBRECHT Michiel,Team Flanders - Baloise,39
932,SAVINO Federico,Soudal Quick-Step Devo Team,39
933,MASENGESHO Vainqueur,,39
934,ROYAN Muhammad Andy,,39
935,CASTROVIEJO Jonathan,,38
936,KOCH Jonas,,38
937,OKA Atsushi,Astemo Utsunomiya Blitzen,38
938,KRON Andreas,Uno-X Mobility,38
939,CRETTI Luca,MBH Bank CSB Telecom Fort,38
940,KOCKELMANN Mathieu,Lotto Intermarché,38
941,PRINGLE Nate,Decathlon CMA CGM Development Team,38
942,WARLOP Jordi,,37
943,TAROZZI Manuele,Bardiani CSF 7 Saber,37
944,SU Haoyu,XDS Astana Team,37
945,RAMÍREZ Donovan,,37
946,INGEBRIGTSEN Storm,Uno-X Mobility,37
947,FOUGNER Eivind Broholt,Unibet Rose Rockets,37
948,MENDES Diego De Jesus,,37
949,TEUGELS Lennert,Tarteletto - Isorex,36
950,MORA Luis Guillermo,,36
951,RIES Michel,,36
952,PRONSKIY Vadim,Terengganu Cycling Team,36
953,VÁSQUEZ Juan Mardoqueo,Hino One La Red Suzuki,36
954,BUDZIŃSKI Tomasz,ATT Investments,36
955,RODRÍGUEZ Brandon Ulises,,36
956,BOICHIS Adrien,Red Bull - BORA - hansgrohe,36
957,PÉREZ Ciro,AVC Aix Provence Dole,36
958,CONTI Valerio,Solution Tech NIPPO Rali,35
959,BOUCHARD Geoffrey,TotalEnergies,35
960,JANSSENS Jimmy,,35
961,DYBALL Benjamin,FNIX - SCOM - Hengxiang Cycling Team,35
962,ROOSEN Timo,Team Picnic PostNL,35
963,VAN DER SANDE Tosh,,35
964,OURSELIN Paul,Cofidis,35
965,ROBEET Ludovic,Cofidis,35
966,BAX Sjoerd,Pinarello Q36.5 Pro Cycling Team,35
967,KERGOZOU DE LA BOESSIERE Nick,St George Continental Cycling Team,35
968,BLOEM Joren,Unibet Rose Rockets,35
969,MACKELLAR Alastair,EF Education - EasyPost,35
970,D'AMATO Andrea,Team UKYO,35
971,REMKHI Rudolf,MBB Continental Cycling Team,35
972,FOX Matthew,Lotto Intermarché,35
973,BOWER Lewis,Groupama - FDJ United,35
974,OSES Luis Daniel,,35
975,BOCK Max,Red Bull - BORA - hansgrohe Rookies,35
976,O'BRIEN Liam,Lidl - Trek Future Racing,35
977,KURITS Karl,Lucky Sport Cycling Team,35
978,DOMÍNGUEZ José Alberto,,35
979,ABREU Jorge,Fina Arroz CES Multimarcas Bancamiga,34
980,WILLIAMS Cory,L39ION of Los Angeles,34
981,SABBAHI El Houcaine,,34
982,LE HUITOUZE Eddy,,34
983,KAJAMINI Florian Samuel,XDS Astana Team,34
984,VAN HAUTEGEM Leander,Team Flanders - Baloise,34
985,DOMINGUEZ Carlos Vidal,,34
986,EEMAN Kamiel,Lotto - Groupe Wanty,34
987,DELLAI Mohamed Aziz,,34
988,PHẠM Lê Xuân Lộc,Quick Pro Team,34
989,VAN KERCKHOVE Matisse,Team Visma | Lease a Bike Development,34
990,ZOIDL Riccardo,Hrinkow Advarics,33
991,FUENTES Ángel,,33
992,PROĆ Bartłomiej,Wibatech Lubelskie Perła Polski,33
993,MILLER Alex,,33
994,POMORSKI Michał,ATT Investments,33
995,PRIETO José Juan,Petrolike,33
996,BRACALENTE Diego,MBH Bank CSB Telecom Fort,33
997,RAFFERTY Adam,Hagens Berman Jayco,33
998,BLAISE Arthur,,33
999,ROWE Elliot,Team Visma | Lease a Bike Development,33
1000,TONELLI Alessandro,Team Polti VisitMalta,32
1001,SÉNÉCHAL Florian,Alpecin-Premier Tech,32
1002,GOOSSENS Kobe,,32
1003,BATTISTELLA Samuele,EF Education - EasyPost,32
1004,VAN TRICHT Stan,Soudal Quick-Step Devo Team,32
1005,ASSAL Mohamed Nadjib,,32
1006,NIELSEN Sebastian,Team ColoQuick,32
1007,ETXEBERRIA Asier,,32
1008,WHITE Conor,Jakroo Handsling Racing,32
1009,ARDILA Andrés Camilo,,32
1010,DATI Tommaso,Team UKYO,32
1011,CZABOK Konrad,Voster Team,32
1012,DE COMARMOND Aurelien,,32
1013,LOPEZ Juan Carlos,,32
1014,GIDDINGS Joshua,Lotto Intermarché,32
1015,ROTTMANN Jonathan Malte,Team Lotto Kern-Haus Outlet Montabaur,32
1016,BRUTTOMESSO Alberto,Bahrain - Victorious,32
1017,AUGÉ Ronan,Unibet Rose Rockets,32
1018,MEEHAN Jamie,Cofidis,32
1019,MORALES Christopher,,32
1020,SORARRAIN Gorka,Caja Rural - Seguros RGA,32
1021,FU Enqi,,32
1022,BERNAS Paweł,Voster Team,31
1023,DE TIER Floris,,31
1024,FABBRO Matteo,Solution Tech NIPPO Rali,31
1025,LAU Wan Yau Vincent,Roojai Insurance Winspace,31
1026,VERHOEFF Stefan,Universe Cycling Team,31
1027,PEÑA Wilson Estiben,Team Sistecredito,31
1028,LOCK Dennis,,31
1029,KEE Zhe Yie,Terengganu Cycling Team,31
1030,RABOUDE Jeremy,,31
1031,ØRN-KRISTOFF Felix,Lotto Intermarché,31
1032,ROBERTS Reef,Groupama-FDJ United CT,31
1033,KARIĆ Vedad,,30
1034,BOUWMAN Koen,Team Jayco AlUla,30
1035,CIMOLAI Davide,,30
1036,KRUIJSWIJK Steven,Team Visma | Lease a Bike,30
1037,BASTIAENS Ayco,Soudal Quick-Step,30
1038,JARNET Maxime,Van Rysel Roubaix,30
1039,SCHELLING Ide,,30
1040,HUYS Laurens,Nice Métropole Côte d'Azur,30
1041,STEIMLE Jannik,,30
1042,BAILEY Zefal Trevor,,30
1043,GAZZOLI Michele,Solution Tech NIPPO Rali,30
1044,HEIDEMANN Miguel,REMBE | rad-net,30
1045,PIETROBON Andrea,Team Polti VisitMalta,30
1046,NUHA Blerton,,30
1047,PAQUOT Tom,,30
1048,TU Sergio,Astemo Utsunomiya Blitzen,30
1049,ALIYARI Aidin,Shenzhen Kung Cycling Team,30
1050,BONIFACE Lucas,Charvieu Chavagneux Isère Cyclisme,30
1051,KAGIMU Charles,,30
1052,ROOTKIN-GRAY Jack,,30
1053,POULARD Athit,Roojai Insurance Winspace,30
1054,BUTTIGIEG Aidan,Team Polti VisitMalta,30
1055,MAKATILE Kabelo,,30
1056,RADUNOVIĆ Aleksandar,,30
1057,JAWAID Ali,,30
1058,VEISTROFFER Baptiste,Lotto Intermarché,30
1059,KESSLER Bruno,Tudor Pro Cycling Team U23,30
1060,HAUG Kieran,Modern Adventure Pro Cycling,30
1061,DA CRUZ Nelio,,30
1062,AGRICOLA Danijel,Metec - SOLARWATT p/b Mantel,30
1063,VAN GESTEL Dries,Soudal Quick-Step,29
1064,SOUPE Geoffrey,,29
1065,BRUNNER Eric,Project Echelon Racing,29
1066,REYNDERS Jens,Qatar Pro Team,29
1067,ILIĆ Ognjen,Benotti Berthold,29
1068,REYES Yeison Sebastian,,29
1069,LÓPEZ DE ABETXUKO Andoni,Anicolor / Campicarn,29
1070,ISASA Xabier,Euskaltel - Euskadi,29
1071,BURNETT Josh,Burgos Burpellet BH,29
1072,MESA Santiago,Anicolor / Campicarn,29
1073,ESSABAHY Ibrahim,,29
