Rank,Rider,Team,Points
119,CANAL Carlos,Movistar Team,485
120,CORT Magnus,Uno-X Mobility,482
121,FISHER-BLACK Finn,Red Bull - BORA - hansgrohe,473
122,ANIOŁKOWSKI Stanisław,Cofidis,472
123,BARRÉ Louis,Team Visma | Lease a Bike,471
124,GROßSCHARTNER Felix,UAE Team Emirates - XRG,468
125,SOLER Marc,UAE Team Emirates - XRG,466
126,DUJARDIN Sandy,TotalEnergies,464
127,VACEK Mathias,Lidl - Trek,461
128,LONARDI Giovanni,Team Polti VisitMalta,460
129,LANDA Mikel,Soudal Quick-Step,459
130,BETTIOL Alberto,XDS Astana Team,454
131,MENTEN Milan,Lotto Intermarché,449
132,SALBY Alexander,Li Ning Star,449
133,LAURANCE Axel,INEOS Grenadiers,449
134,BERTHET Clément,Groupama - FDJ United,446
135,PENHOËT Paul,Groupama - FDJ United,445
136,SCHACHMANN Maximilian,Soudal Quick-Step,442
137,GRUEL Thibaud,Groupama - FDJ United,442
138,TURNER Ben,INEOS Grenadiers,441
139,RONDEL Mathys,Tudor Pro Cycling Team,441
140,COQUARD Bryan,Cofidis,440
141,RENARD Alexis,Cofidis,436
142,TRONCHON Bastien,Groupama - FDJ United,436
143,VENTURINI Clément,Unibet Rose Rockets,434
144,ZAMBANINI Edoardo,Bahrain - Victorious,428
145,LANGELLOTTI Victor,INEOS Grenadiers,426
146,VAN DEN BERG Marijn,EF Education - EasyPost,426
147,FRIGO Marco,NSN Cycling Team,424
148,MOLANO Juan Sebastián,UAE Team Emirates - XRG,420
149,NYS Thibau,Lidl - Trek,415
150,CASTRILLO Pablo,Movistar Team,415
151,VERNON Ethan,NSN Cycling Team,413
152,WITHEN PHILIPSEN Albert,Lidl - Trek,413
153,RUBIO Einer,Movistar Team,412
154,BLIKRA Erlend,Uno-X Mobility,410
155,MADOUAS Valentin,Groupama - FDJ United,409
156,BALLERINI Davide,XDS Astana Team,408
157,CARUSO Damiano,Bahrain - Victorious,407
158,STUYVEN Jasper,Soudal Quick-Step,405
159,DVERSNES Fredrik,Uno-X Mobility,405
160,HOELGAARD Markus,Uno-X Mobility,404
161,HOFSTETTER Hugo,NSN Cycling Team,399
162,COVI Alessandro,Team Jayco AlUla,399
163,HERMANS Quinten,Pinarello Q36.5 Pro Cycling Team,397
164,BAUHAUS Phil,Bahrain - Victorious,395
165,LARSEN Niklas,Unibet Rose Rockets,394
166,TSARENKO Kyrylo,,393
167,RODRÍGUEZ Cristián,XDS Astana Team,392
168,KÜNG Stefan,Tudor Pro Cycling Team,389
169,TOWNSEND Rory,Unibet Rose Rockets,382
170,KRISTOFF Alexander,,380
171,DAINESE Alberto,Soudal Quick-Step,380
172,ARMIRAIL Bruno,Team Visma | Lease a Bike,376
173,VAN GILS Maxim,Red Bull - BORA - hansgrohe,374
174,SHEEHAN Riley,NSN Cycling Team,369
175,PARET-PEINTRE Valentin,Soudal Quick-Step,367
176,THOMAS Benjamin,Cofidis,366
177,BERCKMOES Jenno,Lotto Intermarché,361
178,FREDHEIM Stian,Uno-X Mobility,359
179,HONORÉ Mikkel Frølich,EF Education - EasyPost,358
180,FEDOROV Yevgeniy,XDS Astana Team,358
181,VAN EETVELT Lennert,Lotto Intermarché,355
182,TARLING Joshua,INEOS Grenadiers,355
183,MARIT Arne,Red Bull - BORA - hansgrohe,354
184,DÉMARE Arnaud,,348
185,PLUIMERS Rick,Tudor Pro Cycling Team,345
186,HAYTER Ethan,Soudal Quick-Step,343
187,LEKNESSUND Andreas,Uno-X Mobility,340
188,MAJKA Rafał,,339
189,DE LA CRUZ David,Pinarello Q36.5 Pro Cycling Team,338
190,TURGIS Anthony,TotalEnergies,338
191,POELS Wout,Unibet Rose Rockets,334
192,TRÆEN Torstein,Uno-X Mobility,328
193,DE BONDT Dries,Team Jayco AlUla,327
194,BARRENETXEA Jon,Movistar Team,326
195,BIERMANS Jenthe,Cofidis,323
196,VAN DEN BROEK Frank,Team Picnic PostNL,322
197,TILLER Rasmus,Uno-X Mobility,319
198,TEUTENBERG Tim Torn,Lidl - Trek,317
199,DELBOVE Joris,TotalEnergies,314
200,SEGAERT Alec,Bahrain - Victorious,314
201,GAUDU David,Groupama - FDJ United,312
202,COSTIOU Ewen,Groupama - FDJ United,312
203,HIGUITA Sergio,XDS Astana Team,311
204,FAGÚNDEZ Eric Antonio,Burgos Burpellet BH,311
205,MIHKELS Madis,EF Education - EasyPost,311
206,ADRIÀ Roger,Movistar Team,309
207,MIQUEL Pau,Bahrain - Victorious,308
208,HOOLE Daan,Decathlon CMA CGM Team,307
209,GUERIN Alexis,Anicolor / Campicarn,305
210,REX Laurenz,Soudal Quick-Step,304
211,ALBANESE Vincenzo,EF Education - EasyPost,303
212,NORDHAGEN Jørgen,Team Visma | Lease a Bike,302
213,VENDRAME Andrea,Team Jayco AlUla,300
214,QUARTUCCI Lorenzo,Burgos Burpellet BH,300
215,KOPECKÝ Matyáš,Unibet Rose Rockets,299
216,SÖDERQVIST Jakob,Lidl - Trek,298
217,GILMORE Brady,NSN Cycling Team,296
218,DÍAZ José Manuel,Burgos Burpellet BH,295
219,MOHORIČ Matej,Bahrain - Victorious,292
220,EEKHOFF Nils,Team Picnic PostNL,290
221,SOBRERO Matteo,Lidl - Trek,289
222,WELSFORD Sam,INEOS Grenadiers,289
223,RODRÍGUEZ Carlos,INEOS Grenadiers,287
224,IZAGIRRE Ion,Cofidis,286
225,MAYRHOFER Marius,Tudor Pro Cycling Team,285
226,BARCELÓ Fernando,Caja Rural - Seguros RGA,283
227,ENGELHARDT Felix,Team Jayco AlUla,283
228,POOLE Max,Team Picnic PostNL,281
229,TESFATSION Natnael,Movistar Team,280
230,VERMEERSCH Gianni,Red Bull - BORA - hansgrohe,278
231,DE SCHUYTENEER Steffen,Lotto Intermarché,278
232,STEWART Jake,NSN Cycling Team,277
233,GARCÍA PIERNA Raúl,Movistar Team,276
234,COSNEFROY Benoît,UAE Team Emirates - XRG,273
235,RAJOVIĆ Dušan,Solution Tech NIPPO Rali,272
236,LAFAY Victor,Unibet Rose Rockets,271
237,OLIVEIRA Ivo,UAE Team Emirates - XRG,271
238,LØLAND Sakarias Koller,Uno-X Mobility,271
239,BLACKMORE Joseph,NSN Cycling Team,271
240,LAPORTE Christophe,Team Visma | Lease a Bike,270
241,TEUNS Dylan,Cofidis,269
242,ETXEBERRIA Haimar,Red Bull - BORA - hansgrohe,268
243,NYCH Artem,Anicolor / Campicarn,263
244,GARCÍA CORTINA Iván,Movistar Team,263
245,HARPER Chris,Pinarello Q36.5 Pro Cycling Team,262
246,VOISARD Yannis,Tudor Pro Cycling Team,260
247,PRADES Eduard,Caja Rural - Seguros RGA,258
248,KIELICH Timo,Team Visma | Lease a Bike,258
249,MOZZATO Luca,Tudor Pro Cycling Team,256
250,ZANA Filippo,Soudal Quick-Step,255
251,BAUDIN Alex,EF Education - EasyPost,255
252,DE PLUS Laurens,INEOS Grenadiers,254
253,FIORELLI Filippo,Team Visma | Lease a Bike,254
254,ZIMMERMANN Georg,Lotto Intermarché,254
255,BARONCINI Filippo,UAE Team Emirates - XRG,254
256,MEURISSE Xandro,Pinarello Q36.5 Pro Cycling Team,251
257,STORK Florian,Tudor Pro Cycling Team,251
258,BALDERSTONE Abel,Caja Rural - Seguros RGA,251
259,BISSEGGER Stefan,Decathlon CMA CGM Team,249
260,LAMPERTI Luke,EF Education - EasyPost,249
261,BERRADE Urko,Equipo Kern Pharma,248
262,ARRIETA Igor,UAE Team Emirates - XRG,246
263,COBO Iván,Equipo Kern Pharma,244
264,RIKUNOV Petr,Wheeltop Rotor Chengdu Team,243
265,BOL Cees,Decathlon CMA CGM Team,242
266,DENZ Nico,Red Bull - BORA - hansgrohe,241
267,MONIQUET Sylvain,Cofidis,241
268,ROCHAS Rémy,Groupama - FDJ United,240
269,KONRAD Patrick,Lidl - Trek,239
270,GEOGHEGAN HART Tao,Lidl - Trek,238
271,CRAS Steff,Soudal Quick-Step,238
272,CAMPENAERTS Victor,Team Visma | Lease a Bike,237
273,FANCELLU Alessandro,MBH Bank CSB Telecom Fort,237
274,BARGUIL Warren,Team Picnic PostNL,235
275,MÜHLBERGER Gregor,Decathlon CMA CGM Team,235
276,LATOUR Pierre,,234
277,PITHIE Laurence,Red Bull - BORA - hansgrohe,234
278,WIDAR Jarno,Lotto Intermarché,234
279,VERMAERKE Kevin,UAE Team Emirates - XRG,233
280,VERCHER Mattéo,TotalEnergies,233
281,GAUTHERAT Pierre,Decathlon CMA CGM Team,231
282,EULÁLIO Afonso,Bahrain - Victorious,230
283,MOLENAAR Alex,Caja Rural - Seguros RGA,229
284,BISIAUX Léo,Decathlon CMA CGM Team,229
285,FOLDAGER Anders,Team Jayco AlUla,228
286,MAIRE Adrien,Unibet Rose Rockets,228
287,PEÑALVER Manuel,Team Polti VisitMalta,227
288,KOGUT Oded,NSN Cycling Team,227
289,ACKERMANN Pascal,Team Jayco AlUla,226
290,BARDET Romain,,224
291,MILESI Lorenzo,Movistar Team,224
292,LÓPEZ Juan Pedro,Movistar Team,223
293,HERRADA Jesús,Burgos Burpellet BH,222
294,DONOVAN Mark,Pinarello Q36.5 Pro Cycling Team,222
295,KWIATKOWSKI Michał,INEOS Grenadiers,221
296,GLOAG Thomas,Pinarello Q36.5 Pro Cycling Team,221
297,SVESTAD-BÅRDSENG Embret,INEOS Grenadiers,220
298,STAUNE-MITTET Johannes,Decathlon CMA CGM Team,220
299,PEÑA Jesús David,Efapel Cycling,218
300,RYAN Archie,EF Education - EasyPost,217
301,CARBONI Giovanni,,215
302,FINN Lorenzo,Red Bull - BORA - hansgrohe Rookies,212
303,BUCHMANN Emanuel,Cofidis,211
304,MOLLEMA Bauke,Lidl - Trek,211
305,VLASOV Aleksandr,Red Bull - BORA - hansgrohe,210
306,DEHAIRS Simon,Alpecin-Premier Tech,210
307,HALLER Marco,Tudor Pro Cycling Team,209
308,VAN MOER Brent,Pinarello Q36.5 Pro Cycling Team,208
309,LAAS Martin,,207
310,PARRA José Félix,Caja Rural - Seguros RGA,207
311,HOWSON Damien,Pinarello Q36.5 Pro Cycling Team,206
312,BREGNHØJ Mathias,Terengganu Cycling Team,206
313,MEINTJES Louis,,205
314,THIJSSEN Gerben,Alpecin-Premier Tech,205
315,THEUNS Edward,Lidl - Trek,204
316,FORMOLO Davide,Movistar Team,201
