Rank,Rider,Team,Points,nota
457,SEPÚLVEDA Eduardo,Li Ning Star,130,7.64
458,VAN ASBROECK Tom,NSN Cycling Team,130,7.63
459,VAHTRA Norman,China Anta - Mentech Cycling Team,130,7.63
460,KENCH Josh,Groupama - FDJ United,130,7.62
461,WANDAHL Frederik,Red Bull - BORA - hansgrohe,128,7.62
462,AMAN Awet,Istanbul Team,128,7.61
463,SCOTSON Callum,Decathlon CMA CGM Team,127,7.6
464,GÓMEZ Germán Darío,Team Polti VisitMalta,127,7.6
465,CUYLITS Mauro,Lotto - Groupe Wanty,127,7.59
466,MAISONOBE Sam,Cofidis,127,7.59
467,JUNGELS Bob,INEOS Grenadiers,125,7.58
468,JANSE VAN RENSBURG Reinardt,Tshenolo Pro Cycling Team,124,7.57
469,TSISHKOU Raman,Li Ning Star,124,7.57
470,ROULAND Louis,Cofidis,124,7.56
471,AUGUST Andrew,INEOS Grenadiers,124,7.56
472,VERVAEKE Louis,Soudal Quick-Step,123,7.55
473,CAMARGO Diego Andrés,Team Medellín - EPM,121,7.55
474,LEONARD Michael,EF Education - EasyPost,121,7.54
475,VAN ENGELEN Adne,Terengganu Cycling Team,120,7.53
476,GHEBREIGZABHIER Amanuel,Lidl - Trek,120,7.53
477,SANDER HANSEN Marcus,BHS - PL Beton Bornholm,120,7.52
478,VALGREN Michael,EF Education - EasyPost,119,7.52
479,TOUZÉ Damien,Cofidis,119,7.51
480,COLNAGHI Luca,Bardiani CSF 7 Saber,119,7.5
481,GUARDEÑO Jaume,Caja Rural - Seguros RGA,119,7.5
482,BERNARD Julien,Lidl - Trek,118,7.49
483,QUINTANA Nairo,Movistar Team,118,7.49
484,BATSAIKHAN Tegsh-Bayar,Roojai Insurance Winspace,118,7.48
485,TSVETKOV Nikita,Bardiani CSF 7 Saber,118,7.48
486,POLITT Nils,UAE Team Emirates - XRG,117,7.47
487,MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe,117,7.46
488,VARGAS Walter,Team Medellín - EPM,117,7.46
489,SWIFT Connor,INEOS Grenadiers,117,7.45
490,GERMANI Lorenzo,Groupama - FDJ United,117,7.45
491,TESSON Jason,TotalEnergies,116,7.44
492,HUBY Antoine,,116,7.43
493,ÁLVAREZ Héctor,Lidl - Trek Future Racing,116,7.43
494,WARBASSE Larry,Tudor Pro Cycling Team,115,7.42
495,HAIG Jack,INEOS Grenadiers,115,7.42
496,HEIDUK Kim,INEOS Grenadiers,115,7.41
497,WALLS Matthew,,114,7.4
498,GOVEKAR Matevž,Bahrain - Victorious,114,7.4
499,PRADES Benjamín,VC Fukuoka,113,7.39
500,STEINHAUSER Georg,EF Education - EasyPost,113,7.39
501,TURCONI Filippo,Bardiani CSF 7 Saber,113,7.38
502,HAGENES Per Strand,Team Visma | Lease a Bike,112,7.38
503,IZQUIERDO Clément,Cofidis,112,7.37
504,OLIVEIRA Rui,UAE Team Emirates - XRG,111,7.36
505,CEPEDA Jefferson Alexander,EF Education - EasyPost,111,7.36
506,CHRISTOPHERSEN Cedrik Bakke,Unibet Rose Rockets,111,7.35
507,BYSTRØM Sven Erik,Uno-X Mobility,110,7.35
508,PETER Jannis,Unibet Rose Rockets,110,7.34
509,VERRE Alessandro,MBH Bank CSB Telecom Fort,110,7.33
510,PEÑUELA Francisco Joel,Caja Rural - Seguros RGA,110,7.33
511,LE BERRE Mathis,TotalEnergies,110,7.32
512,HAMZA Yacine,,109,7.32
513,BURGAUDEAU Mathieu,TotalEnergies,109,7.31
514,ANDERSEN Mads,Swatt Club,109,7.3
515,SWEENY Harry,EF Education - EasyPost,108,7.3
516,VERGALLITO Luca,Alpecin-Premier Tech,108,7.29
517,DONALDSON Robert,Team Jayco AlUla,108,7.29
518,CURRIE Logan,,108,7.28
519,RUIZ Ibon,Equipo Kern Pharma,108,7.28
520,LIENHARD Fabian,Tudor Pro Cycling Team,107,7.27
521,DAUPHIN Florian,TotalEnergies,107,7.26
522,PICKERING Finlay,Team Jayco AlUla,107,7.26
523,GRANGER Ben,Solution Tech NIPPO Rali,106,7.25
524,KEPPLINGER Rainer,Bahrain - Victorious,106,7.25
525,BENNETT George,NSN Cycling Team,105,7.24
526,COVILI Luca,Bardiani CSF 7 Saber,105,7.23
527,PICKRELL Riley,Modern Adventure Pro Cycling,105,7.23
528,SCALCO Matteo,XDS Astana Development Team,105,7.22
529,PERICAS Adrià,UAE Team Emirates - XRG,105,7.22
530,MEIJERS Jeroen,Victoria Sports Pro Cycling,104,7.21
531,GAVIRIA Fernando,Caja Rural - Seguros RGA,104,7.2
532,BRENES Sebastian,Canel's - Java,104,7.2
533,DEBRUYNE Ramses,Alpecin-Premier Tech,104,7.19
534,DE POOTER Dries,Team Jayco AlUla,104,7.19
535,ZERAY Nahom,Team UKYO,104,7.18
536,CALLEJAS Edison Alejandro,Petrolike,104,7.18
537,WALSCHEID Max,Lidl - Trek,103,7.17
538,LÓPEZ Jordi,Euskaltel - Euskadi,103,7.16
539,KUZMIN Anton,XDS Astana Team,102,7.16
540,KRETSCHY Moritz,NSN Development Team,102,7.15
541,BRUNEL Alexys,TotalEnergies,101,7.15
542,GRAAT Tijmen,Team Visma | Lease a Bike,101,7.14
543,TIVANI German Nicolás,Aviludo - Louletano - Loulé,100,7.13
544,MARIAULT Axel,CIC Pro Cycling Academy,100,7.13
545,TORRES Pablo,UAE Team Emirates - XRG,100,7.12
546,HAMILTON Chris,Team Picnic PostNL,99,7.12
547,CONTRERAS Rodrigo,,98,7.11
548,VAN DEN BOSSCHE Fabio,Soudal Quick-Step,98,7.11
549,GUALDI Simone,Lotto Intermarché,98,7.1
550,GEENS Jonas,Alpecin-Premier Tech,98,7.09
551,VANHOUCKE Harm,Pinarello Q36.5 Pro Cycling Team,97,7.09
552,MARTÍN Gotzon,Euskaltel - Euskadi,97,7.08
553,CADENA Edgar David,,97,7.08
554,NOVÁK Pavel,Movistar Team,97,7.07
555,NEILANDS Krists,NSN Cycling Team,96,7.06
556,FERRON Valentin,Cofidis,96,7.06
557,BÉVORT Carl-Frederik,Uno-X Mobility,96,7.05
558,SCHRETTL Marco,XDS Astana Team,96,7.05
559,GUTIÉRREZ Jorge,Equipo Kern Pharma,95,7.04
560,HABTEAB Yoel,BIKE AID,95,7.03
561,SMIT Willie,China Anta - Mentech Cycling Team,94,7.03
562,VANSEVENANT Mauri,Soudal Quick-Step,94,7.02
563,MUNTON Byron,Modern Adventure Pro Cycling,94,7.02
564,BOIVIN Guillaume,NSN Cycling Team,93,7.01
565,GIDICH Yevgeniy,,93,7.01
566,FLYNN Sean,Team Picnic PostNL,93,7.0
567,APARICIO Mario,Burgos Burpellet BH,93,6.99
568,WENZEL Mats,Equipo Kern Pharma,93,6.99
569,LANHOVE Milan,Team Flanders - Baloise,93,6.98
570,JACOBS Johan,Groupama - FDJ United,92,6.98
571,BALLABIO Giacomo,Team Vorarlberg,92,6.97
572,MACIEJUK Filip,,92,6.96
573,VADIC Baptiste,TotalEnergies,92,6.96
574,MIMOUNI Oussama Abdellah,,92,6.95
575,GUERNALEC Victor,CIC Pro Cycling Academy,91,6.95
576,UMBA Santiago,Solution Tech NIPPO Rali,91,6.94
577,PETERS Nans,,90,6.93
578,KNOX James,Team Picnic PostNL,90,6.93
579,O'BRIEN Kelland,Team Jayco AlUla,90,6.92
580,BRAMBILLA Gianluca,,89,6.92
581,LAGAB Azzedine,Mouloudia Club d'Alger,89,6.91
582,BOMBOI Davide,,89,6.91
583,GONZÁLEZ David,Pinarello Q36.5 Pro Cycling Team,89,6.9
584,AERTS Toon,Lotto Intermarché,88,6.89
585,RACCANI Simone,Team UKYO,88,6.89
586,HERZOG Emil,Red Bull - BORA - hansgrohe,88,6.88
587,FELDHOFFER Bálint,Bahrain Victorious Development Team,88,6.88
588,DE JONG Timo,Team Picnic PostNL,87,6.87
589,PONOMAR Andrii,Petrolike,87,6.86
590,SHMIDT Artem,INEOS Grenadiers,87,6.86
591,DONNENWIRTH Tom,Groupama - FDJ United,87,6.85
592,ROTA Lorenzo,Lotto Intermarché,86,6.85
593,DEKKER David,BEAT Cycling Club,86,6.84
594,HOULE Hugo,Alpecin-Premier Tech,85,6.83
595,LEEMREIZE Gijs,Team Picnic PostNL,85,6.83
596,BELOKI Markel,EF Education - EasyPost,85,6.82
597,SAMITIER Sergio,Cofidis,84,6.82
598,MUGISHA Moise,,84,6.81
599,NØRTOFT Morten Aalling,Team ColoQuick,84,6.81
600,VERSTRYNGE Emiel,Alpecin-Premier Tech,84,6.8
601,SCHWARZBACHER Matthias,EF Education - EasyPost,84,6.79
602,SYRITSA Gleb,XDS Astana Team,83,6.79
603,RICKAERT Jonas,Alpecin-Premier Tech,82,6.78
604,CONSONNI Simone,Lidl - Trek,82,6.78
605,GOLDSTEIN Omer,,82,6.77
606,HUERTAS Jason Andrey,,82,6.76
607,QUICK Blake,FNIX - SCOM - Hengxiang Cycling Team,82,6.76
608,EDDY Patrick,Team Brennan,82,6.75
609,PALETTI Luca,Bardiani CSF 7 Saber,82,6.75
610,KOISHI Yuma,Kinan Racing Team,81,6.74
611,REINDERINK Pepijn,Soudal Quick-Step,81,6.74
612,MINTEGI Iker,Euskaltel - Euskadi,81,6.73
613,CAMPRUBÍ Marcel,Pinarello Q36.5 Pro Cycling Team,81,6.72
614,HOBBS Noah,EF Education - EasyPost,81,6.72
615,SCOTT Cameron,Li Ning Star,80,6.71
616,BARTHE Cyril,Groupama - FDJ United,80,6.71
617,RAISBERG Nadav,NSN Cycling Team,80,6.7
618,DALBY Simon,Uno-X Mobility,80,6.69
619,THORNLEY Callum,Red Bull - BORA - hansgrohe,80,6.69
620,BUDIAK Anatolii,,79,6.68
621,HENNEQUIN Paul,Euskaltel - Euskadi,79,6.68
622,ROMELE Alessandro,XDS Astana Team,79,6.67
623,CRABBE Tom,Team Flanders - Baloise,79,6.66
624,CORKERY Dillon,Team Picnic PostNL,78,6.66
625,PESCADOR Diego,Movistar Team,78,6.65
626,PEDRERO Antonio,,77,6.65
627,DUPONT Timothy,Tarteletto - Isorex,77,6.64
628,SINSCHEK Nils,Li Ning Star,77,6.64
629,VAN DER LEE Jardi Christiaan,EF Education - EasyPost,77,6.63
630,HANSEN Alexander Arnt,AIRTOX - Carl Ras,77,6.62
631,ABERASTURI Jon,,76,6.62
632,BRUSTENGA Marc,Equipo Kern Pharma,76,6.61
633,HELLEMOSE Asbjørn,Team Jayco AlUla,76,6.61
634,MAAS Jan,Cofidis,75,6.6
635,DE PESTEL Sander,Decathlon CMA CGM Team,75,6.59
636,LINAREZ Leangel Rubén,Tavfer-Ovos Matinados-Mortágua,75,6.59
637,GRIGNARD Sébastien,Lotto Intermarché,75,6.58
638,BERWICK Sebastian,Caja Rural - Seguros RGA,75,6.58
639,MARTÍN Alex,Illes Balears Arabay,75,6.57
640,PAREDES Wilmar,Team Medellín - EPM,74,6.56
641,OTRUBA Jakub,Caja Rural - Seguros RGA,74,6.56
642,CRAPS Lars,Lotto Intermarché,74,6.55
643,DE CASSAN Davide,General Store - Essegibi - F.Lli Curia,74,6.55
644,DARDER Sergi,Caja Rural - Seguros RGA,74,6.54
645,MOSCA Jacopo,Lidl - Trek,73,6.54
646,YEMANE Dawit,,73,6.53
647,GUDMESTAD Tord,Decathlon CMA CGM Team,73,6.52
648,DOULL Owain,Team Visma | Lease a Bike,72,6.52
649,REINDERS Elmar,Unibet Rose Rockets,72,6.51
650,MULLEN Ryan,NSN Cycling Team,72,6.51
651,STÜSSI Colin,Team Vorarlberg,72,6.5
652,STOKBRO Andreas,Swatt Club,72,6.49
653,DE VRIES Hartthijs,Unibet Rose Rockets,72,6.49
654,DOWNES Brandon,Tshenolo Pro Cycling Team,72,6.48
655,MILESI Nicolas,INEOS Grenadiers Racing Academy,72,6.48
656,MOSCON Gianni,Red Bull - BORA - hansgrohe,71,6.47
657,MÄRKL Niklas,Team Picnic PostNL,71,6.47
658,GRADEK Kamil,Bahrain - Victorious,70,6.46
659,EWAN Caleb,,70,6.45
660,NOVAK Domen,UAE Team Emirates - XRG,70,6.45
661,STANNARD Robert,Bahrain - Victorious,70,6.44
662,BURATTI Nicolò,MBH Bank CSB Telecom Fort,70,6.44
663,EPIS Giosuè,Petrolike,70,6.43
664,NIYONKURU Samuel,,70,6.42
665,VADER Milan,Pinarello Q36.5 Pro Cycling Team,69,6.42
666,SYELHAN Muhammad,ASC Monsters Indonesia,69,6.41
667,NEUMAN Dominik,ATT Investments,68,6.41
668,PĘKALA Piotr,ATT Investments,68,6.4
669,URIARTE Diego,Equipo Kern Pharma,68,6.39
670,HEREMANS Joppe,Van Rysel Roubaix,68,6.39
671,STOLIĆ Mihajlo,Bahrain Victorious Development Team,68,6.38
672,CHESINI Cesare,MBH Bank CSB Telecom Fort,68,6.38
673,DONATI Davide,Red Bull - BORA - hansgrohe Rookies,68,6.37
674,DONIE Milan,Lotto - Groupe Wanty,68,6.37
675,BOUGLAS Georgios,Burgos Burpellet BH,67,6.36
676,DEWULF Stan,Decathlon CMA CGM Team,67,6.35
677,GAMPER Patrick,Team Jayco AlUla,67,6.35
678,LASTRA Jonathan,Euskaltel - Euskadi,67,6.34
679,WILKSCH Hannes,Tudor Pro Cycling Team,67,6.34
680,MIKUTIS Aivaras,Tudor Pro Cycling Team,67,6.33
681,PALENI Enzo,Groupama - FDJ United,67,6.32
682,MARRIAGE Zac,NSN Development Team,67,6.32
683,REMIJN Senna,Alpecin-Premier Tech,67,6.31
684,HEPBURN Michael,,66,6.31
685,SOTO Antonio Jesús,Equipo Kern Pharma,66,6.3
686,HESTERS Jules,Team Flanders - Baloise,66,6.29
687,JOHANSEN Julius,UAE Team Emirates - XRG,66,6.29
688,WRIGHT Paul,Modern Adventure Pro Cycling,66,6.28
689,PŘIDAL Tomáš,Team United Shipping,66,6.28
690,GRUZDEV Dmitriy,,65,6.27
691,WALLIN Rasmus Bøgh,Team Cranks,65,6.27
692,MUDGWAY Luke,Li Ning Star,65,6.26
693,DINA Márton,MBH Bank CSB Telecom Fort,65,6.25
694,DE ROSSI Lucas,China Anta - Mentech Cycling Team,65,6.25
695,COBARRUBIA Leonardo,,65,6.24
696,YIĞIT Tahir,,65,6.24
697,KAMADA Koki,Toscana Factory Devo Team,65,6.23
698,JASCH Lennart,Tudor Pro Cycling Team U23,65,6.22
699,ARCHIBOLD Franklin,Solution Tech NIPPO Rali,64,6.22
700,ROSLI Muhammad Nur Aiman Bin,Terengganu Cycling Team,64,6.21
701,KOPECKÝ Tomáš,Unibet Rose Rockets,64,6.21
702,VERSCHUREN Killian,Unibet Rose Rockets,64,6.2
703,PHOUNSAVATH Ariya,Quick Pro Team,63,6.19
704,EDMONDSON Alex,,63,6.19
705,CATALDO Lorenzo,China Chermin Cycling Team,63,6.18
706,GLIVAR Gal,Alpecin-Premier Tech,63,6.18
707,HUBER Jan,Tudor Pro Cycling Team U23,63,6.17
708,CLARKE Simon,NSN Cycling Team,62,6.17
709,JUUL-JENSEN Christopher,Team Jayco AlUla,62,6.16
710,DELAPLACE Anthony,,62,6.15
711,RESELL Erik Nordsæter,Uno-X Mobility,62,6.15
712,TENE Rotem,NSN Development Team,62,6.14
713,WALSH Liam,CCACHE x BODYWRAP,62,6.14
714,SIMMONS Colby,EF Education - EasyPost,62,6.13
715,VERVENNE Jonathan,Soudal Quick-Step,62,6.12
716,LOULERGUE Victor,Groupama-FDJ United CT,62,6.12
717,OOMEN Sam,Lidl - Trek,61,6.11
718,FRĄTCZAK Radosław,Wibatech Lubelskie Perła Polski,61,6.11
719,BELOHVOŠČIKS Kristiāns,BIKE AID,61,6.1
720,NSENGIYUMVA Shemu,,61,6.1
721,VAN DER HOORN Taco,Lotto Intermarché,60,6.09
722,OLIVEIRA Nelson,Movistar Team,60,6.08
723,ČERNÝ Josef,Kasper crypto4me,60,6.08
724,PETILLI Simone,,60,6.07
725,HAMILTON Lucas,INEOS Grenadiers,60,6.07
726,HOPKINS Kaden,Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team,60,6.06
727,BOULAHOITE Rayan,TotalEnergies,60,6.05
728,SCHULTZ Nick,NSN Cycling Team,59,6.05
729,DRIZNERS Jarrad,Red Bull - BORA - hansgrohe,59,6.04
730,GONOV Lev,XDS Astana Team,59,6.04
731,L'HOTE Antoine,Decathlon CMA CGM Team,59,6.03
732,DEGENKOLB John,Team Picnic PostNL,58,6.02
733,ERIKSSON Lucas,,58,6.02
734,GONZÁLEZ Roberto Carlos,Solution Tech NIPPO Rali,58,6.01
735,STEWART Mark,Modern Adventure Pro Cycling,58,6.01
736,SOSA Iván Ramiro,Equipo Kern Pharma,58,6.0
737,SLOCK Liam,Lotto Intermarché,58,6.0
738,JASIM AL-ALI Abdulla,UAE Team Emirates Gen Z,58,5.99
739,REGUIGUI Youcef,,57,5.98
740,TRATNIK Jan,Red Bull - BORA - hansgrohe,57,5.98
741,SERRANO Gonzalo,Movistar Team,57,5.97
742,ANTUNES Tiago,Efapel Cycling,57,5.97
743,BAYER Tobias,Alpecin-Premier Tech,57,5.96
744,LOZOUET Léandre,CIC Pro Cycling Academy,57,5.95
745,GUATIBONZA Jonathan,Movistar Team Academy,57,5.95
746,LIEPIŅŠ Emīls,Pinarello Q36.5 Pro Cycling Team,56,5.94
747,PASQUALON Andrea,,56,5.94
748,BANASZEK Norbert,ATT Investments,56,5.93
749,LAUK Karl Patrick,,56,5.92
750,MONK Cyrus,FNIX - SCOM - Hengxiang Cycling Team,56,5.92
751,AZPARREN Xabier Mikel,Pinarello Q36.5 Pro Cycling Team,56,5.91
752,MARSMAN Tim,Alpecin-Premier Tech,56,5.91
753,VANÍČEK Šimon,ATT Investments,56,5.9
754,SEYFOLLAHIFARD Hasan,,56,5.9
755,VOLTR Martin,ATT Investments,56,5.89
756,GAFFURI Mattia,Team Picnic PostNL,56,5.88
757,OKAMIKA Ander,Burgos Burpellet BH,56,5.88
758,RAFFERTY Darren,EF Education - EasyPost,56,5.87
759,DILLIER Silvan,Alpecin-Premier Tech,55,5.87
760,PEREZ Anthony,,55,5.86
761,VAN HOECKE Gijs,,55,5.85
762,MASNADA Fausto,MBH Bank CSB Telecom Fort,55,5.85
763,PAASSCHENS Mathijs,Bahrain - Victorious,55,5.84
764,BADILATTI Matteo,Pinarello Q36.5 Pro Cycling Team,55,5.84
765,BANASZEK Alan,Wibatech Lubelskie Perła Polski,55,5.83
766,SUNEKÆR NORSGAARD Mathias,Lidl - Trek,55,5.83
767,ZUKOWSKY Nickolas,Pinarello Q36.5 Pro Cycling Team,55,5.82
768,JOUSSEAUME Alan,TotalEnergies,55,5.81
769,BLUME LEVY William,Uno-X Mobility,55,5.81
770,VAN SINTMAARTENSDIJK Roel,Lotto Intermarché,55,5.8
771,WALKER Max,EF Education - EasyPost,55,5.8
772,MIHOLJEVIĆ Fran,Bahrain - Victorious,55,5.79
773,COPPENS Michiel,BEAT Cycling Club,55,5.78
774,ERMAKOV Roman,Bahrain - Victorious,55,5.78
775,SAGRADO Alvaro,Illes Balears Arabay,55,5.77
776,ALEMAYO Tekle,China Chermin Cycling Team,55,5.77
777,SEVILLA Óscar,Team Medellín - EPM,54,5.76
778,SIRIRONNACHAI Sarawut,,54,5.75
779,FORTIN Filippo,Hrinkow Advarics,54,5.75
780,VAN DEN BERG Julius,Team Picnic PostNL,54,5.74
781,HAMDAN Wan Abdul Rahman,Terengganu Cycling Team,54,5.74
782,YUN Jaebin,Roojai Insurance Winspace,54,5.73
783,GAJDULEWICZ Mateusz,ATT Investments,54,5.73
784,FAURA José Luis,Burgos Burpellet BH,54,5.72
785,THIERRY Pierre,TotalEnergies,54,5.71
786,ISIDORE Noa,Decathlon CMA CGM Team,54,5.71
787,MELLANO Ludovico Maria,XDS Astana Development Team,54,5.7
788,ALBLOOSHI Rashid,Abu Dhabi Cycling Club,54,5.7
789,SKAARSETH Anders,Uno-X Mobility,53,5.69
790,ZOCCARATO Samuele,MBH Bank CSB Telecom Fort,53,5.68
791,PARISINI Nicolò,Pinarello Q36.5 Pro Cycling Team,53,5.68
792,CROCKETT Finn,VolkerWessels Cycling Team,53,5.67
793,STOSZ Patryk,Voster Team,52,5.67
794,REIS Rafael,Anicolor / Campicarn,52,5.66
795,THOMAS Geraint,,52,5.65
796,KHALMURATOV Muradjan,,52,5.65
797,BAIS Mattia,Team Polti VisitMalta,52,5.64
798,GUGLIELMI Simon,St Michel - Preference Home - Auber93,52,5.64
799,SKERL Daniel,Bahrain - Victorious,52,5.63
800,FERNÁNDEZ Samuel,Caja Rural - Seguros RGA,52,5.63
801,KACZMAREK Jakub,Voster Team,51,5.62
802,KONYCHEV Alexander,China Anta - Mentech Cycling Team,51,5.61
803,CHAMPION Thomas,St Michel - Preference Home - Auber93,51,5.61
804,OSORIO Alejandro,,51,5.6
805,KLUCKERS Arthur,Tudor Pro Cycling Team,51,5.6
806,ÄRM Rait,Energus Cycling Team,51,5.59
807,THOMPSON Reuben,Lotto Intermarché,51,5.58
808,KRIEGER Alexander,,50,5.58
809,COMBAUD Romain,,50,5.57
810,YAMAMOTO Masaki,VC Fukuoka,50,5.57
811,GREGAARD Jonas,,50,5.56
812,DAVY Clément,Nice Métropole Côte d'Azur,50,5.55
813,GHYS Robbe,Decathlon CMA CGM Team,50,5.55
814,MILTIADIS Andreas,Quick Pro Team,50,5.54
815,COLMAN Alex,,50,5.54
816,COLLEONI Kevin,,50,5.53
817,DELACROIX Théo,St Michel - Preference Home - Auber93,50,5.53
818,MEDHANIE Natan,,50,5.52
819,MORO Manlio,Movistar Team,50,5.51
820,LABIB SHOTORBAN Ali,,50,5.51
821,KOTSAKIS Francisco,,50,5.5
822,HUISING Menno,Team Visma | Lease a Bike,50,5.5
823,YEMANE Even,BIKE AID,50,5.49
824,RAMÍREZ Mateo,UAE Team Emirates Gen Z,50,5.48
825,BIESTERBOS Frits,Team Picnic PostNL,50,5.48
826,VÉLEZ Cristian Damián,Team Sistecredito,50,5.47
827,KAMP Alexander,Uno-X Mobility,49,5.47
828,OTTEMA Rick,EEW-VDK Cyclingteam,49,5.46
829,SAMUDIO Carlos,Solution Tech NIPPO Rali,49,5.46
830,FERNÁNDEZ Miguel Ángel,,49,5.45
831,PORTER Rudy,Team Jayco AlUla,49,5.44
832,JOALLAND Yaël,Cofidis,49,5.44
833,NARRAWAY Nicholas,,49,5.43
834,GELDERS Gil,Soudal Quick-Step,49,5.43
835,ERŽEN Žak,Bahrain - Victorious,49,5.42
836,DE BUYST Jasper,Lotto Intermarché,48,5.41
837,QUINTANA Hector Exequiel,,48,5.41
838,LOPES Lucas,Efapel Cycling,48,5.4
839,NEGRENTE Mattia,XDS Astana Development Team,48,5.4
840,KIRSCH Alex,Cofidis,47,5.39
841,JUNG Woo-Ho,Seoul Cycling Team,47,5.38
842,VANHOOF Ward,Team Flanders - Baloise,47,5.38
843,CHAIYASOMBAT Thanakhan,Thailand Continental Cycling Team,47,5.37
844,AMARI Hamza,,47,5.37
845,MEZGEC Luka,Team Jayco AlUla,46,5.36
846,BIZKARRA Mikel,Euskaltel - Euskadi,46,5.36
847,AÏT EL ABDIA Anass,Qatar Pro Team,46,5.35
848,QUINN Sean,EF Education - EasyPost,46,5.34
849,ORMISTON Callum,The Hurricane & Thunder Cycling Team,46,5.34
850,KRIJNSEN Jelte,Team Jayco AlUla,46,5.33
851,PIDCOCK Joseph,Pinarello Q36.5 Pro Cycling Team,46,5.33
852,ÁLVAREZ Rodrigo,Burgos Burpellet BH,46,5.32
853,REDAE Bizay Tesfu,,46,5.31
854,VAN LERBERGHE Bert,Soudal Quick-Step,45,5.31
855,NABERMAN Tim,Team Picnic PostNL,45,5.3
856,MACÍAS César,Burgos Burpellet BH,45,5.3
857,BENNETT Stéfan,EuroCyclingTrips - CCN,45,5.29
858,TONEATTI Davide,XDS Astana Team,45,5.28
859,KAMZONG Clovis,,44,5.28
860,SÜTTERLIN Jasha,Team Jayco AlUla,44,5.27
861,BARBIER Pierre,Terengganu Cycling Team,44,5.27
862,SEVILLA Diego Pablo,Team Polti VisitMalta,44,5.26
863,BOU Joan,Caja Rural - Seguros RGA,44,5.26
864,KOLZE CHANGIZI Sebastian,Tudor Pro Cycling Team,44,5.25
865,MURGUIALDAY Jokin,Euskaltel - Euskadi,44,5.24
866,BETTLES Carter,Roojai Insurance Winspace,44,5.24
867,KHADBAATAR Temuulen,Roojai Insurance Winspace,44,5.23
868,MCLAY Daniel,,43,5.23
869,FENG Chun Kai,Astemo Utsunomiya Blitzen,43,5.22
870,FUGLSANG Jakob,,43,5.21
871,FELIPE Marcelo,Victoria Sports Pro Cycling,43,5.21
872,GARCÍA PIERNA Carlos,Burgos Burpellet BH,43,5.2
873,MUÑOZ Francisco,Team Polti VisitMalta,43,5.2
874,DIKE Joshua Ethan,,43,5.19
875,FRYDKJÆR Patrick Boje,Lidl - Trek Future Racing,43,5.18
876,EL ALOUANI Driss,,43,5.18
877,VILLA Giacomo,Petrolike,43,5.17
878,FERNÁNDEZ Rubén,Anicolor / Campicarn,42,5.17
879,MANZIN Lorrenzo,TotalEnergies,42,5.16
880,MEENS Johan,,42,5.16
881,PESENTI Thomas,Team Polti VisitMalta,42,5.15
882,KYFFIN Zeb,Terengganu Cycling Team,42,5.14
883,HESSMANN Michel,Movistar Team,42,5.14
884,ANDERSEN Kasper,Swatt Club,42,5.13
885,OOSTERLINCK Joes,Van Rysel Roubaix,42,5.13
886,SENTJENS Sente,Alpecin-Premier Tech,42,5.12
887,HERREÑO Martin Santiago,Bardiani CSF 7 Saber,42,5.11
888,ANGULO Antonio,,41,5.11
889,TAMINIAUX Lionel,Lotto Intermarché,41,5.1
890,MANSOURI Islam,,41,5.1
891,VANDENABEELE Henri,Team Flanders - Baloise,41,5.09
892,SEXTON Tom,St George Continental Cycling Team,41,5.09
893,ROJAS Gabriel Francisco,,41,5.08
894,ROSENLUND Stian,AIRTOX - Carl Ras,41,5.07
895,SHICHKIN Vlas,,41,5.07
896,FELDMANN Karsten Larsen,Unibet Rose Rockets,41,5.06
897,BASSET Pierre-Henry,XDS Astana Development Team,41,5.06
898,GARCÍA Carlos Alfonso,,41,5.05
899,MARIVOET Duarte,Lotto - Groupe Wanty,41,5.04
900,CHAMBERLAIN Oscar,Decathlon CMA CGM Team,41,5.04
901,ALMUTAIWEI Mohammad,UAE Team Emirates Gen Z,41,5.03
902,SOENENS Viktor,Soudal Quick-Step Devo Team,41,5.03
903,MENÉNDEZ Héctor,,41,5.02
904,BORREMANS Kasper,Bahrain Victorious Development Team,41,5.01
905,DURBRIDGE Luke,Team Jayco AlUla,40,5.01
906,RIESEBEEK Oscar,Alpecin-Premier Tech,40,5.0
907,VERMOTE Julien,,40,5.0
908,RAPP Jonas,FNIX - SCOM - Hengxiang Cycling Team,40,4.99
909,SCOTSON Miles,,40,4.99
910,JENNER Samuel,Wheeltop Rotor Chengdu Team,40,4.98
911,FINKŠT Tilen,Solution Tech NIPPO Rali,40,4.97
912,JOHANNINK Jelle,Unibet Rose Rockets,40,4.97
913,PRICE-PEJTERSEN Johan,Alpecin-Premier Tech,40,4.96
914,LEIJNSE Enzo,Anicolor / Campicarn,40,4.96
915,SERRANO Javier,Team Polti VisitMalta,40,4.95
916,WALTERS Red,,40,4.94
917,WEISS Fabian,Tudor Pro Cycling Team,40,4.94
918,HOUCOU Emmanuel,Pinarello Q36.5 Pro Cycling Team,40,4.93
919,SODJEDE Ricardo,,40,4.93
920,SMITH William,Team Visma | Lease a Bike Development,40,4.92
921,HAVERDINGS David,,40,4.91
922,KALEJMANN Mateo,,40,4.91
923,TAILLIEU Aldo,Team Visma | Lease a Bike Development,40,4.9
924,TESFAY Amanuel,,40,4.9
925,ABU HARRAH Majid,,40,4.89
