Rank,Rider,Team,Points,nota
103,SILVA Guillermo Thomas,XDS Astana Team,531,9.72
104,KUSS Sepp,Team Visma | Lease a Bike,527,9.71
105,KULSET Johannes,Uno-X Mobility,527,9.71
106,BAGIOLI Andrea,Lidl - Trek,524,9.7
107,TEUNISSEN Mike,XDS Astana Team,515,9.69
108,MOSCHETTI Matteo,Pinarello Q36.5 Pro Cycling Team,514,9.69
109,TRENTIN Matteo,Tudor Pro Cycling Team,512,9.68
110,SIMMONS Quinn,Lidl - Trek,512,9.68
111,VERMEERSCH Florian,UAE Team Emirates - XRG,510,9.67
112,LAPEIRA Paul,Decathlon CMA CGM Team,509,9.67
113,DOUBLE Paul,Team Jayco AlUla,505,9.66
114,JOHANNESSEN Anders Halland,Uno-X Mobility,505,9.65
115,AULAR Orluis,Movistar Team,504,9.65
116,PLAPP Luke,Team Jayco AlUla,501,9.64
117,ROMEO Iván,Movistar Team,491,9.64
118,VAN POPPEL Danny,Red Bull - BORA - hansgrohe,488,9.63
119,CANAL Carlos,Movistar Team,485,9.62
120,CORT Magnus,Uno-X Mobility,482,9.62
121,FISHER-BLACK Finn,Red Bull - BORA - hansgrohe,473,9.61
122,ANIOŁKOWSKI Stanisław,Cofidis,472,9.61
123,BARRÉ Louis,Team Visma | Lease a Bike,471,9.6
124,GROßSCHARTNER Felix,UAE Team Emirates - XRG,468,9.59
125,SOLER Marc,UAE Team Emirates - XRG,466,9.59
126,DUJARDIN Sandy,TotalEnergies,464,9.58
127,VACEK Mathias,Lidl - Trek,461,9.58
128,LONARDI Giovanni,Team Polti VisitMalta,460,9.57
129,LANDA Mikel,Soudal Quick-Step,459,9.57
130,BETTIOL Alberto,XDS Astana Team,454,9.56
131,MENTEN Milan,Lotto Intermarché,449,9.55
132,SALBY Alexander,Li Ning Star,449,9.55
133,LAURANCE Axel,INEOS Grenadiers,449,9.54
134,BERTHET Clément,Groupama - FDJ United,446,9.54
135,PENHOËT Paul,Groupama - FDJ United,445,9.53
136,SCHACHMANN Maximilian,Soudal Quick-Step,442,9.52
137,GRUEL Thibaud,Groupama - FDJ United,442,9.52
138,TURNER Ben,INEOS Grenadiers,441,9.51
139,RONDEL Mathys,Tudor Pro Cycling Team,441,9.51
140,COQUARD Bryan,Cofidis,440,9.5
141,RENARD Alexis,Cofidis,436,9.5
142,TRONCHON Bastien,Groupama - FDJ United,436,9.49
143,VENTURINI Clément,Unibet Rose Rockets,434,9.48
144,ZAMBANINI Edoardo,Bahrain - Victorious,428,9.48
145,LANGELLOTTI Victor,INEOS Grenadiers,426,9.47
146,VAN DEN BERG Marijn,EF Education - EasyPost,426,9.47
147,FRIGO Marco,NSN Cycling Team,424,9.46
148,MOLANO Juan Sebastián,UAE Team Emirates - XRG,420,9.45
149,NYS Thibau,Lidl - Trek,415,9.45
150,CASTRILLO Pablo,Movistar Team,415,9.44
151,VERNON Ethan,NSN Cycling Team,413,9.44
152,WITHEN PHILIPSEN Albert,Lidl - Trek,413,9.43
153,RUBIO Einer,Movistar Team,412,9.42
154,BLIKRA Erlend,Uno-X Mobility,410,9.42
155,MADOUAS Valentin,Groupama - FDJ United,409,9.41
156,BALLERINI Davide,XDS Astana Team,408,9.41
157,CARUSO Damiano,Bahrain - Victorious,407,9.4
158,STUYVEN Jasper,Soudal Quick-Step,405,9.4
159,DVERSNES Fredrik,Uno-X Mobility,405,9.39
160,HOELGAARD Markus,Uno-X Mobility,404,9.38
161,HOFSTETTER Hugo,NSN Cycling Team,399,9.38
162,COVI Alessandro,Team Jayco AlUla,399,9.37
163,HERMANS Quinten,Pinarello Q36.5 Pro Cycling Team,397,9.37
164,BAUHAUS Phil,Bahrain - Victorious,395,9.36
165,LARSEN Niklas,Unibet Rose Rockets,394,9.35
166,TSARENKO Kyrylo,,393,9.35
167,RODRÍGUEZ Cristián,XDS Astana Team,392,9.34
168,KÜNG Stefan,Tudor Pro Cycling Team,389,9.34
169,TOWNSEND Rory,Unibet Rose Rockets,382,9.33
170,KRISTOFF Alexander,,380,9.32
171,DAINESE Alberto,Soudal Quick-Step,380,9.32
172,ARMIRAIL Bruno,Team Visma | Lease a Bike,376,9.31
173,VAN GILS Maxim,Red Bull - BORA - hansgrohe,374,9.31
174,SHEEHAN Riley,NSN Cycling Team,369,9.3
175,PARET-PEINTRE Valentin,Soudal Quick-Step,367,9.3
176,THOMAS Benjamin,Cofidis,366,9.29
177,BERCKMOES Jenno,Lotto Intermarché,361,9.28
178,FREDHEIM Stian,Uno-X Mobility,359,9.28
179,HONORÉ Mikkel Frølich,EF Education - EasyPost,358,9.27
180,FEDOROV Yevgeniy,XDS Astana Team,358,9.27
181,VAN EETVELT Lennert,Lotto Intermarché,355,9.26
182,TARLING Joshua,INEOS Grenadiers,355,9.25
183,MARIT Arne,Red Bull - BORA - hansgrohe,354,9.25
184,DÉMARE Arnaud,,348,9.24
185,PLUIMERS Rick,Tudor Pro Cycling Team,345,9.24
186,HAYTER Ethan,Soudal Quick-Step,343,9.23
187,LEKNESSUND Andreas,Uno-X Mobility,340,9.22
188,MAJKA Rafał,,339,9.22
189,DE LA CRUZ David,Pinarello Q36.5 Pro Cycling Team,338,9.21
190,TURGIS Anthony,TotalEnergies,338,9.21
191,POELS Wout,Unibet Rose Rockets,334,9.2
192,TRÆEN Torstein,Uno-X Mobility,328,9.2
193,DE BONDT Dries,Team Jayco AlUla,327,9.19
194,BARRENETXEA Jon,Movistar Team,326,9.18
195,BIERMANS Jenthe,Cofidis,323,9.18
196,VAN DEN BROEK Frank,Team Picnic PostNL,322,9.17
197,TILLER Rasmus,Uno-X Mobility,319,9.17
198,TEUTENBERG Tim Torn,Lidl - Trek,317,9.16
199,DELBOVE Joris,TotalEnergies,314,9.15
200,SEGAERT Alec,Bahrain - Victorious,314,9.15
201,GAUDU David,Groupama - FDJ United,312,9.14
202,COSTIOU Ewen,Groupama - FDJ United,312,9.14
203,HIGUITA Sergio,XDS Astana Team,311,9.13
204,FAGÚNDEZ Eric Antonio,Burgos Burpellet BH,311,9.13
205,MIHKELS Madis,EF Education - EasyPost,311,9.12
206,ADRIÀ Roger,Movistar Team,309,9.11
207,MIQUEL Pau,Bahrain - Victorious,308,9.11
208,HOOLE Daan,Decathlon CMA CGM Team,307,9.1
209,GUERIN Alexis,Anicolor / Campicarn,305,9.1
210,REX Laurenz,Soudal Quick-Step,304,9.09
211,ALBANESE Vincenzo,EF Education - EasyPost,303,9.08
212,NORDHAGEN Jørgen,Team Visma | Lease a Bike,302,9.08
213,VENDRAME Andrea,Team Jayco AlUla,300,9.07
214,QUARTUCCI Lorenzo,Burgos Burpellet BH,300,9.07
215,KOPECKÝ Matyáš,Unibet Rose Rockets,299,9.06
216,SÖDERQVIST Jakob,Lidl - Trek,298,9.05
217,GILMORE Brady,NSN Cycling Team,296,9.05
218,DÍAZ José Manuel,Burgos Burpellet BH,295,9.04
219,MOHORIČ Matej,Bahrain - Victorious,292,9.04
220,EEKHOFF Nils,Team Picnic PostNL,290,9.03
221,SOBRERO Matteo,Lidl - Trek,289,9.03
222,WELSFORD Sam,INEOS Grenadiers,289,9.02
223,RODRÍGUEZ Carlos,INEOS Grenadiers,287,9.01
224,IZAGIRRE Ion,Cofidis,286,9.01
225,MAYRHOFER Marius,Tudor Pro Cycling Team,285,9.0
226,BARCELÓ Fernando,Caja Rural - Seguros RGA,283,9.0
227,ENGELHARDT Felix,Team Jayco AlUla,283,8.99
228,POOLE Max,Team Picnic PostNL,281,8.98
229,TESFATSION Natnael,Movistar Team,280,8.98
230,VERMEERSCH Gianni,Red Bull - BORA - hansgrohe,278,8.97
231,DE SCHUYTENEER Steffen,Lotto Intermarché,278,8.97
232,STEWART Jake,NSN Cycling Team,277,8.96
233,GARCÍA PIERNA Raúl,Movistar Team,276,8.95
234,COSNEFROY Benoît,UAE Team Emirates - XRG,273,8.95
235,RAJOVIĆ Dušan,Solution Tech NIPPO Rali,272,8.94
236,LAFAY Victor,Unibet Rose Rockets,271,8.94
237,OLIVEIRA Ivo,UAE Team Emirates - XRG,271,8.93
238,LØLAND Sakarias Koller,Uno-X Mobility,271,8.93
239,BLACKMORE Joseph,NSN Cycling Team,271,8.92
240,LAPORTE Christophe,Team Visma | Lease a Bike,270,8.91
241,TEUNS Dylan,Cofidis,269,8.91
242,ETXEBERRIA Haimar,Red Bull - BORA - hansgrohe,268,8.9
243,NYCH Artem,Anicolor / Campicarn,263,8.9
244,GARCÍA CORTINA Iván,Movistar Team,263,8.89
245,HARPER Chris,Pinarello Q36.5 Pro Cycling Team,262,8.88
246,VOISARD Yannis,Tudor Pro Cycling Team,260,8.88
247,PRADES Eduard,Caja Rural - Seguros RGA,258,8.87
248,KIELICH Timo,Team Visma | Lease a Bike,258,8.87
249,MOZZATO Luca,Tudor Pro Cycling Team,256,8.86
250,ZANA Filippo,Soudal Quick-Step,255,8.85
251,BAUDIN Alex,EF Education - EasyPost,255,8.85
252,DE PLUS Laurens,INEOS Grenadiers,254,8.84
253,FIORELLI Filippo,Team Visma | Lease a Bike,254,8.84
254,ZIMMERMANN Georg,Lotto Intermarché,254,8.83
255,BARONCINI Filippo,UAE Team Emirates - XRG,254,8.83
256,MEURISSE Xandro,Pinarello Q36.5 Pro Cycling Team,251,8.82
257,STORK Florian,Tudor Pro Cycling Team,251,8.81
258,BALDERSTONE Abel,Caja Rural - Seguros RGA,251,8.81
259,BISSEGGER Stefan,Decathlon CMA CGM Team,249,8.8
260,LAMPERTI Luke,EF Education - EasyPost,249,8.8
261,BERRADE Urko,Equipo Kern Pharma,248,8.79
262,ARRIETA Igor,UAE Team Emirates - XRG,246,8.78
263,COBO Iván,Equipo Kern Pharma,244,8.78
