Date,Race,Winner,Class,nota,nota_recalibrada
02.02,Grand Prix Cycliste de Marseille La Marseillaise,FERRON Valentin,1.1,7.06,0.0
02.02,National Championships Ecuador ME - Road Race,NARVÁEZ Jhonatan,NC,10.0,10.0
02.02,National Championships Ecuador WE - Road Race,VASQUEZ Natalia,NC,,
02.02,Trofeo Palma,LEITÃO Iúri,1.1,7.87,2.76
04.02 - 09.02,Tour Colombia,,2.1,,
05.02 - 09.02,Volta a la Comunitat Valenciana,BUITRAGO Santiago,2.Pro,9.97,9.9
05.02 - 09.02,Etoile de Bessèges - Tour du Gard,VAUQUELIN Kévin,2.1,10.0,10.0
05.02 - 09.02,Herald Sun Tour,,2.1,,
06.02 - 09.02,UAE Tour Women,LONGO BORGHINI Elisa,2.WWT,,
06.02,National Championships Colombia ME - ITT,BERNAL Egan,NC,10.0,10.0
06.02,National Championships Colombia MU - ITT,FLÓREZ Samuel,NC,,
06.02,National Championships Colombia WE - ITT,PEÑUELA Diana,NC,,
06.02,National Championships New Zealand ME - ITT,FISHER-BLACK Finn,NC,9.61,8.67
06.02,National Championships New Zealand MJ - ITT,SHANNON Harry,NC,,
06.02,National Championships New Zealand MU - ITT,PRINGLE Nate,NC,4.8,-7.69
06.02,National Championships New Zealand WE - ITT,CADZOW Kim,NC,,
06.02,National Championships New Zealand WJ - ITT,MCKENZIE Neve,NC,,
06.02,National Championships New Zealand WU - ITT,WATTS Kirsty,NC,,
06.02,National Championships South Africa WE - ITT,YOUNG Lucy,NC,,
06.02,National Championships South Africa WJ - ITT,BOUWER Carli,NC,,
06.02,National Championships South Africa WU - ITT,KLOPPER Sonica,NC,,
06.02,National Championships Colombia WU - ITT,GARZÓN Natalia,NC,,
07.02,Asian Continental Championships - Mixed Relay TTT,,CC,,
07.02,Asian Continental Championships JR - Mixed Relay TTT,,CC,,
07.02,Muscat Classic,PLUIMERS Rick,1.1,9.24,7.41
07.02,National Championships Colombia WE - Road Race,LONDOÑO Juliana,NC,,
07.02,National Championships Namibia ME - ITT,MILLER Alex,NC,4.49,-8.74
07.02,National Championships Namibia MJ - ITT,SURÉN Roger,NC,,
07.02,National Championships Namibia MU - ITT,BEULKER Justus,NC,1.42,-19.18
07.02,National Championships Namibia WE - ITT,KRUGEL Anri,NC,,
07.02,National Championships Namibia WJ - ITT,JANSE VAN VUUREN Delsia,NC,,
07.02,National Championships Namibia WU - ITT,DU PLESSIS Monique,NC,,
07.02,National Championships New Zealand MJ - Road Race,ARCHER Ben,NC,,
07.02,National Championships New Zealand WE - Road Race,CADZOW Kim,NC,,
07.02,National Championships New Zealand WJ - Road Race,MCKENZIE Neve,NC,,
07.02,National Championships South Africa ME - ITT,HATHERLY Alan,NC,7.77,2.41
07.02,National Championships South Africa MJ - ITT,JOHNSON Joshua,NC,,
07.02,National Championships South Africa MU - ITT,CRAUSE Pedri,NC,2.52,-15.44
07.02,National Championships Uruguay ME - ITT,FAGÚNDEZ Eric Antonio,NC,9.13,7.04
07.02,National Championships Uruguay MJ - ITT,BAUZIL Nicolas,NC,,
07.02,National Championships Uruguay MU - ITT,BONILLA Pablo Sandino,NC,,
07.02,National Championships Uruguay WE - ITT,POSSE Anabel,NC,,
07.02,National Championships Uruguay WJ - ITT,MORALES Xiomara Belen,NC,,
07.02,National Championships Uruguay WU - ITT,REVETRIA Florencia Carmela,NC,,
08.02,Asian Continental Championships WJ - ITT,ISMAILOVA Samira,CC,,
08.02 - 12.02,Tour of Oman,YATES Adam,2.Pro,10.0,10.0
08.02,National Championships Colombia MU - Road Race,FLÓREZ Samuel,NC,,
08.02,National Championships New Zealand ME - Road Race,WRIGHT Paul,NC,6.28,-2.65
08.02,National Championships South Africa WE - Road Race,GROVE S'annara,NC,,
08.02,National Championships South Africa WJ - Road Race,MACKRIDGE Errin,NC,,
08.02,National Championships Uruguay WE - Road Race,PRIETO Malvina Maria,NC,,
08.02,National Championships Uruguay WJ - Road Race,MORALES Xiomara Belen,NC,,
08.02,Grand Prix Aspendos,LEDESMA Gerard,1.2,3.8,-11.09
08.02,Grand Prix Sakiat Sidi Youcef,MAEKELE Milkias,1.2,8.17,3.78
09.02,Asian Continental Championships MU - ITT,ALMUTAIWEI Mohammad,CC,5.03,-6.9
09.02,Vuelta CV Feminas,ZANETTI Linda,1.Pro,,
09.02,National Championships Colombia ME - Road Race,BERNAL Egan,NC,10.0,10.0
09.02,National Championships Namibia ME - Road Race,MILLER Alex,NC,4.49,-8.74
09.02,National Championships Namibia MJ - Road Race,LOWE Sean,NC,,
09.02,National Championships Namibia WE - Road Race,KRUGEL Anri,NC,,
09.02,National Championships Namibia WJ - Road Race,THIEL Rosemarie,NC,,
09.02,National Championships South Africa ME - Road Race,MATTHEWS Daniyal,NC,2.3,-16.19
09.02,National Championships South Africa MJ - Road Race,HORTER Matthew,NC,,
09.02,National Championships Uruguay ME - Road Race,SILVA Guillermo Thomas,NC,9.72,9.05
09.02,National Championships Uruguay MJ - Road Race,SALVAGNO Ivan,NC,,
09.02,National Championships Uruguay MU - Road Race,PÉREZ Ciro,NC,4.7,-8.03
09.02 - 18.02,Tour d'Algérie,AMARI Hamza,2.2,5.37,-5.75
10.02,Asian Continental Championships MJ - ITT,MIRBAGHERI FIROOZABADI Nabi Seyyed Mohammad,CC,,
10.02,Asian Continental Championships WE - ITT,KUSKOVA Yanina,CC,,
10.02,Asian Continental Championships WU - ITT,ZHAO Qing,CC,,
11.02,Asian Continental Championships ME - ITT,FEDOROV Yevgeniy,CC,9.27,7.52
12.02 - 16.02,Vuelta Ciclista Internacional Bio Bio,,2.2,,
13.02,Asian Continental Championships MJ - Road Race,YIP Hon Man,CC,,
13.02 - 16.02,Setmana Ciclista Volta Femenina de la Comunitat Valenciana,VOLLERING Demi,2.Pro,,
14.02,Asian Continental Championships MU - Road Race,KAMADA Koki,CC,6.23,-2.82
14.02,Asian Continental Championships WJ - Road Race,BURENKOVA Angelina,CC,,
14.02 - 16.02,Tour de la Provence,PEDERSEN Mads,2.1,10.0,10.0
